id,popularity,budget,revenue,original_title,cast,director,keywords,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
245698,1.063055,0,0,Pawn Sacrifice,"['Tobey Maguire', 'Lily Rabe', 'Peter Sarsgaard', 'Liev Schreiber', 'Sophie NÃ©lisse']",Edward Zwick,"['chess', 'cold war', 'russia', 'biography', 'victory']",114,['Drama'],"['Material Pictures', 'MICA Entertainment', 'PalmStar Media', 'Gail Katz Productions']",2015-09-16,148,6.6,2015,0.0,0.0
346808,1.041922,20000000,0,Momentum,"['Olga Kurylenko', 'Morgan Freeman', 'James Purefoy', 'Jenna Saras', 'Lee-Anne Summers']",Stephen S. Campanelli,['Unknown'],96,"['Thriller', 'Action']","['Thaba Media', 'Azari Media']",2015-08-01,100,5.8,2015,18399991.9040035,0.0
290637,1.036825,0,0,Pay the Ghost,"['Nicolas Cage', 'Sarah Wayne Callies', 'Veronica Ferres', 'Lyriq Bent', 'Lauren Beatty']",Uli Edel,"['halloween', 'police', 'revenge', 'burned alive', 'children']",94,"['Horror', 'Thriller']","['Voltage Films', 'Midnight Kitchen Productions']",2015-09-16,114,5.3,2015,0.0,0.0
244458,1.02762,0,0,The Voices,"['Ryan Reynolds', 'Gemma Arterton', 'Anna Kendrick', 'Jacki Weaver', 'Ella Smith']",Marjane Satrapi,"['violence', 'psychiatrist', 'dark', 'evil', 'woman director']",101,"['Horror', 'Thriller', 'Comedy', 'Crime']","['Studio Babelsberg', 'Mandalay Vision', '1984 Private Defense Contractors']",2015-02-06,371,6.0,2015,0.0,0.0
314405,1.008474,12000000,0,Il racconto dei racconti,"['Salma Hayek', 'Vincent Cassel', 'John C. Reilly', 'Toby Jones', 'Shirley Henderson']",Matteo Garrone,['Unknown'],125,"['Romance', 'Fantasy', 'Horror']","['HanWay Films', 'Rai Cinema', 'Le Pacte', ""Fonds Eurimages du Conseil de l'Europe"", 'Recorded Picture Company (RPC)']",2015-05-14,211,5.7,2015,11039995.1424021,0.0
157843,0.973316,15000000,0,Queen of the Desert,"['Nicole Kidman', 'James Franco', 'Robert Pattinson', 'Damian Lewis', 'Jenny Agutter']",Werner Herzog,"['middle east', 'persia', 'adventurer']",128,"['Drama', 'History']","['Benaroya Pictures', 'H Films', 'Raslan Company of America']",2015-09-03,30,6.0,2015,13799993.9280026,0.0
290762,0.953647,0,0,Miss You Already,"['Drew Barrymore', 'Toni Collette', 'Dominic Cooper', 'Jacqueline Bisset', 'Paddy Considine']",Catherine Hardwicke,"['female friendship', 'music', 'friendship', 'love', 'cancer']",112,"['Comedy', 'Drama', 'Romance']","['S Films', 'New Sparta Films']",2015-09-12,139,7.2,2015,0.0,0.0
251516,0.953046,630019,0,Kung Fury,"['David Sandberg', 'Jorma Taccone', 'Leopold Nilsson', 'Andreas Cahling', 'Helene Ahlson']",David Sandberg,"['video game', 'martial arts', 'kung fu', 'hacker', 'nazis']",31,"['Action', 'Comedy', 'Science Fiction', 'Fantasy']",['Laser Unicorns'],2015-05-28,487,7.7,2015,579617.224968421,0.0
228968,0.91704,0,0,Kidnapping Mr. Heineken,"['Anthony Hopkins', 'Jim Sturgess', 'Sam Worthington', 'Ryan Kwanten', 'Mark van Eeuwen']",Daniel Alfredson,['Unknown'],95,"['Drama', 'Action', 'Crime', 'Thriller']","['Umedia', 'Informant Europe SPRL', 'European Film Company']",2015-03-12,131,5.8,2015,0.0,0.0
347969,0.913085,60000000,0,The Ridiculous 6,"['Adam Sandler', 'Taylor Lautner', 'Steve Buscemi', 'Terry Crews', 'Danny Trejo']",Frank Coraci,['wild west'],119,"['Comedy', 'Western']",['Happy Madison Productions'],2015-12-11,252,4.8,2015,55199975.7120106,0.0
237756,0.90686,0,0,Kill Me Three Times,"['Teresa Palmer', 'Simon Pegg', 'Luke Hemsworth', 'Sullivan Stapleton', 'Alice Braga']",Kriv Stenders,"['assassin', 'dark comedy']",90,"['Comedy', 'Thriller']","['Parabolic Pictures', 'Stable Way Entertainment', 'Cargo Films', 'Media House Capital']",2015-04-10,96,5.1,2015,0.0,0.0
311291,0.894477,0,0,45 Years,"['Charlotte Rampling', 'Tom Courtenay', 'Dolly Wells', 'Geraldine James', 'David Sibley']",Andrew Haigh,"['secret', 'marriage']",95,['Drama'],['The Bureau'],2015-08-28,167,6.0,2015,0.0,0.0
342474,0.861179,0,0,Jenny's Wedding,"['Katherine Heigl', 'Tom Wilkinson', 'Alexis Bledel', 'Grace Gummer', 'Linda Emond']",Mary Agnes Donoghue,['woman director'],94,"['Comedy', 'Drama']","['MM Productions', 'Merced Media Partners', 'PalmStar Media']",2015-07-31,92,5.2,2015,0.0,0.0
277217,0.848748,0,0,Descendants,"['Booboo Stewart', 'Dove Cameron', 'Keegan Connor Tracy', 'Stephanie Bennett', 'Dan Payne']",Kenny Ortega,"['fairy tale', 'villain', 'musical', 'teen movie', 'teenager']",112,"['Music', 'Action', 'Adventure', 'Comedy', 'Family']",['Walt Disney Television'],2015-07-31,262,6.7,2015,0.0,0.0
207936,0.843174,0,0,Tumbledown,"['Joe Manganiello', 'Jason Sudeikis', 'Blythe Danner', 'Rebecca Hall', 'Dianna Agron']",Sean Mewshaw,"['widow', 'biography', 'writer', 'folk singer']",105,"['Music', 'Romance', 'Comedy']","['Echo Films', 'Bron Studios', 'Hahnscape']",2015-04-18,22,6.6,2015,0.0,0.0
322456,0.821443,0,0,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,"['Nolan North', 'Troy Baker', 'Diedrich Bader', 'Khary Payton', 'James Arnold Taylor']",Brandon Vietti,"['dc comics', 'based on comic book', 'super powers', 'lego']",48,"['Action', 'Adventure', 'Animation', 'Family']",['Warner Bros. Animation'],2015-02-10,14,6.4,2015,0.0,0.0
316002,0.813893,26000000,0,Accidental Love,"['Jake Gyllenhaal', 'Jessica Biel', 'James Marsden', 'Catherine Keener', 'Paul Reubens']",David O. Russell|Stephen Greene,"['one-night stand', 'romantic comedy', 'accidental love']",100,"['Romance', 'Comedy']",['K. JAM Media'],2015-02-10,64,3.6,2015,23919989.4752046,0.0
365806,0.810667,0,0,Halo: The Fall of Reach,"['Steve Downes', 'Jen Taylor', 'Michelle Lukes', 'Travis Willingham', 'Brittany Uomoleale']",Ian Kirby,"['video game', 'based on novel', 'space war', 'animation', 'halo']",67,"['Action', 'Animation', 'Science Fiction']","['343 Industries', 'The Sequence Group']",2015-10-27,32,5.3,2015,0.0,0.0
334538,0.792471,0,0,Into the Forest,"['Ellen Page', 'Evan Rachel Wood', 'Max Minghella', 'Callum Keith Rennie', 'Michael Eklund']",Patricia Rozema,"['female nudity', 'rape', 'fire', 'dancer', 'based on novel']",101,"['Drama', 'Science Fiction']","['Rhombus Media', 'Bron Studios']",2015-06-03,57,5.1,2015,0.0,0.0
328901,0.781809,0,0,The Benefactor,"['Dakota Fanning', 'Theo James', 'Richard Gere', 'Clarke Peters', 'Brian Anthony Wilson']",Andrew Renzi,['Unknown'],90,['Drama'],['KSM'],2015-04-17,55,4.5,2015,0.0,0.0
382517,0.773909,0,0,Open Season: Scared Silly,"['Garry Chalk', 'Kathleen Barr', 'Willa Townsend', 'Melissa Sturm', 'Trevor Devall']",David Feiss,"['bear', 'open season', 'elliot', 'boog']",85,"['Animation', 'Comedy', 'Family', 'Adventure']",['Sony Pictures Animation'],2015-12-31,33,5.6,2015,0.0,0.0
237584,0.768138,0,0,Mojave,"['Oscar Isaac', 'Garrett Hedlund', 'Mark Wahlberg', 'Walton Goggins', 'Louise Bourgoin']",William Monahan,['Unknown'],93,['Thriller'],"['Atlas Independent', 'Henceforth Pictures', 'Highland Film Group', 'MICA Entertainment']",2015-04-18,17,4.3,2015,0.0,0.0
354110,0.747541,11000000,0,Forsaken,"['Demi Moore', 'Kiefer Sutherland', 'Donald Sutherland', 'Brian Cox', 'Siobhan Williams']",Jon Cassar,['Unknown'],90,"['Western', 'Drama']","['Minds Eye Entertainment', 'Panacea Entertainment', 'Moving Pictures Media']",2015-09-16,53,5.6,2015,10119995.5472019,0.0
253161,0.7299,0,0,Madame Bovary,"['Mia Wasikowska', 'Ezra Miller', 'Laura Carmichael', 'Henry Lloyd-Hughes', 'Paul Giamatti']",Sophie Barthes,"['period piece', 'social status', 'extramarital affair', 'woman director']",118,['Drama'],"['A Company Filmproduktionsgesellschaft', 'Aleph Motion Pictures', 'Aden Film']",2015-06-04,52,5.3,2015,0.0,0.0
312831,0.719407,0,0,The Hallow,"['Joseph Mawle', 'Bojana NovakoviÄ‡', 'Michael McElhatton', 'Gary Lydon', 'Stuart Graham']",Corin Hardy,"['baby', 'fairy tale', 'tree', 'transformation', 'mill']",97,"['Fantasy', 'Horror']","['Prescience', 'Bord Scannan na hEireann / Irish Film Board', 'Fantastic Films', 'Altitude Film Entertainment', 'Occupant Entertainment']",2015-11-06,122,4.9,2015,0.0,0.0
316322,0.714131,0,0,Barbie in Princess Power,"['Britt Irvin', 'Michael Kopsa', 'Kelly Sheridan']",Zeke Norton,"['barbie', 'princess', 'super powers']",74,"['Family', 'Animation']",['Mattel Playground Productions'],2015-01-29,13,5.5,2015,0.0,0.0
301846,0.707355,0,0,Howl,"['Ed Speleers', 'Shauna Macdonald', 'Elliot Cowan', 'Holly Weston', 'Amit Shah']",Paul Hyett,"['england', 'fire', 'conductor', 'chase', 'transformation']",89,['Horror'],['Starchild Pictures'],2015-10-01,62,4.9,2015,0.0,0.0
332340,0.701369999999999,0,0,Man Up,"['Simon Pegg', 'Lake Bell', 'Rory Kinnear', 'Ken Stott', 'Harriet Walter']",Ben Palmer,"['bowling', 'blind date', 'party', 'mistaken identity', 'wedding anniversary']",88,"['Romance', 'Comedy']","['Big Talk Productions', 'StudioCanal']",2015-05-29,264,6.5,2015,0.0,0.0
333381,0.696184,0,0,Return to Sender,"['Rosamund Pike', 'Rumer Willis', 'Nick Nolte', 'Scout Taylor-Compton', 'Shiloh Fernandez']",Fouad Mikati,"['date', 'prison', 'nurse', 'rape', 'flirting']",95,['Thriller'],"['Voltage Pictures', 'Arrow Films', 'Boo Pictures']",2015-05-31,88,5.0,2015,0.0,0.0
254172,0.689571,2240000,0,Fathers and Daughters,"['Amanda Seyfried', 'Kylie Rogers', 'Russell Crowe', 'Aaron Paul', 'QuvenzhanÃ© Wallis']",Gabriele Muccino,"['widow', 'mental breakdown', 'family']",116,['Drama'],"['Andrea Leone Films', 'Fear of God Films', 'Busted Shark Productions']",2015-10-01,142,7.0,2015,2060799.09324839,0.0
86835,0.654335,0,0,Knight of Cups,"['Christian Bale', 'Cate Blanchett', 'Natalie Portman', 'Brian Dennehy', 'Antonio Banderas']",Terrence Malick,"['celebrity', 'money', 'temptation', 'wealthy man', 'excess']",118,"['Romance', 'Drama']","['Waypoint Entertainment', 'Dogwood Films']",2015-09-10,101,5.7,2015,0.0,0.0
309242,0.649628,0,0,Mississippi Grind,"['Ryan Reynolds', 'Ben Mendelsohn', 'Sienna Miller', 'Analeigh Tipton', 'Alfre Woodard']",Ryan Fleck|Anna Boden,"['poker', 'gambling', 'casino', 'new orleans', 'roulette']",108,['Drama'],"['Electric City Entertainment', 'Sycamore Pictures', 'Gowanus Projections']",2015-07-04,74,5.7,2015,0.0,0.0
332502,0.644786,0,0,400 Days,"['Caity Lotz', 'Brandon Routh', 'Tom Cavanagh', 'Dane Cook', 'Ben Feldman']",Matt Osterman,"['spacecraft', 'experiment', 'simulation', 'space', 'astronaut']",91,"['Mystery', 'Science Fiction', 'Thriller']",['New Artists Alliance'],2015-10-29,98,4.2,2015,0.0,0.0
286192,0.640151,0,0,Lava,"['Napua Greig', 'Kuana Torres Kahele']",James Ford Murphy,"['pixar animated short', 'animation', 'pixar', 'short']",7,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Music']",['Pixar Animation Studios'],2015-06-19,298,7.3,2015,0.0,0.0
284674,0.638556999999999,0,0,Air,"['Norman Reedus', 'Djimon Hounsou', 'Sandrine Holt', 'Peter Benson', 'Michael Hogan']",Christian Cantamessa,['Unknown'],94,"['Thriller', 'Science Fiction']","['Automatik Entertainment', 'Circle of Confusion', 'Skybound Entertainment']",2015-08-14,135,4.7,2015,0.0,0.0
360055,0.633608,0,0,Riot,"['Matthew Reese', 'Dolph Lundgren', 'Danielle Chuchran', 'Chuck Liddell']",John Lyde,['Unknown'],88,['Action'],['Mainstay Productions'],2015-09-27,11,5.0,2015,0.0,0.0
352179,0.629560999999999,0,0,Septembers of Shiraz,"['Adrien Brody', 'Salma Hayek', 'Gabriella Wright', 'Shohreh Aghdashloo', 'Bashar Rahal']",Wayne Blair,['Unknown'],110,"['Drama', 'Thriller']","['Eclectic pictures', 'AMBI Group']",2015-09-15,14,5.9,2015,0.0,0.0
338676,0.606113,0,0,Extinction,"['Matthew Fox', 'Jeffrey Donovan', 'Quinn McColgan', 'Valeria Vereau', 'Clara Lago']",Miguel Ãngel Vivas,"['mutant', 'thriller', 'zombies', 'zombie apocalypse']",110,"['Drama', 'Horror', 'Science Fiction']","['Vaca Films', 'La Ferme! Productions', 'Laokoon Filmgroup', 'Ombra Films', 'TelefÃ³nica Studios']",2015-08-07,135,5.3,2015,0.0,0.0
330982,0.604928,0,0,The Childhood of a Leader,"['BÃ©rÃ©nice Bejo', 'Liam Cunningham', 'Robert Pattinson', 'Stacy Martin', 'Yolande Moreau']",Brady Corbet,['Unknown'],116,"['Mystery', 'Drama', 'Horror']","['Hepp Film', 'Bow and Arrow Entertainment', 'FilmTeam', 'Bron Capital Partners']",2015-09-02,25,3.6,2015,0.0,0.0
112454,0.599751,0,0,Clown,"['Peter Stormare', 'Laura Allen', 'Elizabeth Whitmere', 'Christian Distefano', 'John MacDonald']",Jon Watts,"['clown', 'boy', 'murder', 'blood', 'child murder']",100,['Horror'],"['Zed Filmworks', 'Cross Creek Pictures', 'Vertebra Films', 'PS 260']",2015-03-02,182,5.2,2015,0.0,0.0
321528,0.589472,0,0,Batman vs. Robin,"[""Jason O'Mara"", 'Stuart Allan', 'David McCallum', 'Sean Maher', 'Jeremy Sisto']",Jay Oliva,"['gotham city', 'robin', 'super powers', 'dollmaker', 'court of owls']",72,"['Action', 'Adventure', 'Animation']","['Warner Bros. Animation', 'DC Entertainment']",2015-04-14,142,6.8,2015,0.0,0.0
317744,0.586735,8000000,0,Careful What You Wish For,"['Dermot Mulroney', 'Kandyse McClure', 'Isabel Lucas', 'Graham Rogers', 'Nick Jonas']",Elizabeth Allen Rosenbaum,['woman director'],91,['Thriller'],"['Hyde Park Entertainment', 'Troika Pictures', 'Amasia Entertainment', 'Merced Media Partners', 'Roberi Media']",2015-05-06,57,5.4,2015,7359996.76160142,0.0
300792,0.584363,0,0,Racing Extinction,"['Elon Musk', 'Jane Goodall', 'Louie Psihoyos', 'Leilani Munter', 'Charles Hambleton']",Louie Psihoyos,"['animal species', 'earth', 'scientist', 'globe', 'activist']",90,"['Adventure', 'Documentary']",['Unknown'],2015-01-24,36,7.8,2015,0.0,0.0
319075,0.569443,0,0,Cobain: Montage of Heck,"['Kurt Cobain', 'Dave Grohl', 'Courtney Love', 'Krist Novoselic']",Brett Morgen,['Unknown'],132,"['Music', 'Documentary']","['HBO Documentary Films', 'Public Road Productions']",2015-03-23,197,7.5,2015,0.0,0.0
316042,0.561032,0,0,Hyena Road,"['Paul Gross', 'Rossif Sutherland', 'Clark Johnson', 'Allan Hawco', 'Christine Horne']",Paul Gross,['Unknown'],120,"['War', 'Drama']","['Rhombus Media', 'International Traders', 'Buffalo Gal Pictures', 'Whizbang Films', 'Triple 7 Films']",2015-10-09,29,5.7,2015,0.0,0.0
334527,0.560743999999999,7000000,0,Criminal Activities,"['Dan Stevens', 'John Travolta', 'Michael Pitt', 'Jackie Earle Haley', 'Travis Aaron Wade']",Jackie Earle Haley,"['mobster', 'money problems', 'borrow', 'trouble', 'classmates']",94,"['Thriller', 'Crime', 'Drama']","['NeeNee Productions', 'Capacity Pictures', 'May Day Movies']",2015-11-20,67,5.9,2015,6439997.16640124,0.0
300153,0.560423,12000000,0,Life,"['Robert Pattinson', 'Dane DeHaan', 'Joel Edgerton', 'Ben Kingsley', 'Kelly McCreary']",Anton Corbijn,"['james dean', 'magazine', 'biography', 'celebrity', 'buddy']",112,['Drama'],['See-Saw Films'],2015-07-24,75,5.9,2015,11039995.1424021,0.0
332704,0.548586999999999,0,0,Backtrack,"['Adrien Brody', 'Sam Neill', 'Bruce Spence', 'Robin McLeavy', 'Jenni Baird']",Michael Petroni,['Unknown'],90,"['Horror', 'Mystery']","['Head Gear Films', 'Screen Australia', 'Metrol Technology', 'Bankside Films']",2015-07-25,52,5.4,2015,0.0,0.0
278236,0.547827,0,0,X+Y,"['Asa Butterfield', 'Rafe Spall', 'Sally Hawkins', 'Eddie Marsan', 'Jo Yang']",Morgan Matthews,"['child prodigy', 'mathematics', 'death of father', 'coming of age', 'teenager']",111,['Drama'],"['Original Pictures', 'Head Gear Films', 'Minnow Films']",2015-03-13,133,6.0,2015,0.0,0.0
276839,0.546458,3000000,0,Home Sweet Hell,"['Katherine Heigl', 'Patrick Wilson', 'Jordana Brewster', 'Kevin McKidd', 'Bryce Johnson']",Anthony Burns,"['wife', 'murder', 'black comedy', 'suburbia', 'drug']",98,"['Drama', 'Comedy']","['Darko Entertainment', 'Passcode Entertainment', 'Donnybrook4 Productions']",2015-03-13,136,4.9,2015,2759998.78560053,0.0
326215,0.542568,6000000,0,Ooops! Noah is Gone...,"['Tara Flynn', 'Alan Stanford', 'Martin Sheen', 'Amy Grant', 'Patrick Fitzsymons']",Toby Genkel|Sean McCormack,"['adventure', 'animal', ""noah's ark""]",85,"['Animation', 'Adventure', 'Comedy']","['Skyline Entertainment', 'Moetion Films', 'Ulysses Filmproduktion', ""Fabrique d'images""]",2015-04-09,50,5.7,2015,5519997.57120106,0.0
363689,0.5327,0,0,The Unspoken,"['Jodelle Ferland', 'Sunny Suljic', 'Neal McDonough', 'Matt Bellefleur', 'Fulvio Cecere']",Sheldon Wilson,['Unknown'],90,"['Thriller', 'Horror']","['Lighthouse Pictures', 'Sapphire Fire Limited']",2015-10-24,10,4.1,2015,0.0,0.0
318256,0.532239,0,0,Hot Girls Wanted,"['Rachel Bernard', 'Belle Knox', 'Tressa Silguero', 'Kendall Plemons']",Jill Bauer|Ronna Gradus,"['porno star', 'craigslist', 'woman director', 'sex trade', 'porno filmmaking']",84,['Documentary'],['Two to Tangle Productions'],2015-05-29,158,5.9,2015,0.0,0.0
333344,0.52985,0,0,Dirty Weekend,"['Matthew Broderick', 'Alice Eve', 'Phil Burke', 'Gia Crovatin', 'Monique Candelaria']",Neil LaBute,"['sex', 'hotel', 'airport', 'infidelity', 'homosexuality']",93,"['Drama', 'Comedy']",['Horsethief Pictures'],2015-09-04,12,4.8,2015,0.0,0.0
357096,0.527957,0,0,I Spit on Your Grave III: Vengeance is Mine,"['Sarah Butler', 'Jennifer Landon', 'Doug McKeon', 'Gabriel Hogan', 'Harley Jane Kozak']",R.D. Braunstein,"['male nudity', 'rape', 'detective', 'nudity', 'group therapy']",91,"['Horror', 'Thriller']",['Cinetel Films'],2015-10-09,100,5.0,2015,0.0,0.0
309299,0.526642,0,0,Experimenter,"['Peter Sarsgaard', 'Winona Ryder', 'Edoardo Ballerini', 'Jim Gaffigan', 'Anthony Edwards']",Michael Almereyda,"['experiment', 'biography', 'controversy']",97,"['History', 'Drama']","['FJ Productions', 'BB Film Productions']",2015-10-16,94,6.9,2015,0.0,0.0
333596,0.52025,0,0,Woodlawn,"['C. Thomas Howell', 'Sean Astin', 'Jon Voight', 'Virginia Williams', 'Brando Eaton']",Andrew Erwin|Jon Erwin,"['sport', 'racism']",123,['Drama'],['Sony Pictures'],2015-10-16,32,6.8,2015,0.0,0.0
361042,0.516954,0,0,The Hollow,"['Stephanie Hunt', 'Sarah Dugdale', 'Alisha Newton', 'Hilary Jardine', 'Richard Harmon']",Sheldon Wilson,"['monster', 'island', 'halloween', 'curse', 'storm']",90,"['Horror', 'TV Movie']",['Sonar Entertainment'],2015-10-24,19,5.1,2015,0.0,0.0
353686,0.515401,0,0,Visions,"['Isla Fisher', 'Anson Mount', 'Gillian Jacobs', 'Jim Parsons', 'Eva Longoria']",Kevin Greutert,"['horror', 'vision', 'pregnant', 'sight']",80,"['Thriller', 'Horror']","['Blumhouse Productions', 'Chapter One Films']",2015-08-28,67,5.5,2015,0.0,0.0
289191,0.513386,0,0,I Am Here,"['Kim Basinger', 'Jordan Prentice', 'Sebastian Schipper', 'Peter Stormare', 'Robert Hunger-BÃ¼hler']",Anders Morgenthaler,"['prostitute', 'border', 'black market', 'business woman', 'mortal danger']",97,"['Drama', 'Thriller']",['Zentropa Entertainments'],2015-06-12,18,4.0,2015,0.0,0.0
324333,0.50732,0,0,Wild Horses,"['Robert Duvall', 'James Franco', 'Josh Hartnett', 'Adriana Barraza', 'Jim Parrack']",Robert Duvall,['Unknown'],100,"['Crime', 'Drama']",['Patriot Pictures'],2015-06-05,16,4.1,2015,0.0,0.0
252164,0.504827999999999,0,0,Pressure,"['Danny Huston', 'Joe Cole', 'Alan McKenna', 'Matthew Goode', 'Ian Pirie']",Ron Scalpello,['survival'],91,"['Drama', 'Thriller']","['Isle of Man Film', 'Bigscope Films', 'Pinewood Pictures']",2015-06-04,29,5.0,2015,0.0,0.0
360784,0.502489,0,0,Hidden,"['Alexander SkarsgÃ¥rd', 'Andrea Riseborough', 'Emily Alyn Lind', 'Heather Doerksen', 'William Ainscough']",Ross Duffer|Matt Duffer,"['helicopter', 'underground', 'nightmare', 'quarantine', 'outbreak']",83,"['Thriller', 'Horror']","['Primal Pictures', 'Warner Bros.']",2015-09-15,96,6.5,2015,0.0,0.0
